x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"1210,8","1370,47","294,309","46,4909","1,06976","0,00242485","-1,06733515","1,0280077820717322","11,8369","12,2758","0,910196","0,897957","1210,8","1293,53",P01,P01_V + P01_B,"12,63015149609375","0,586461121362305"
"1612,33","1637,69","294,363","46,4251","1,07118","0,00786597","-1,06331403","1,0123734488814329","11,8572","12,3159","0,966935","0,925828","1612,33","1026,31",P01,P01_V + P01_B,"12,63157149609375","0,590482241362305"
"1646,87","25,9903","293,998","46,4389","1,076","0,122071","-0,953929","1,2460235992950266","10,4136","11,0023","0,901492","0,885715","1646,87","2638,0097",P01,P01_V + P01_B,"12,63639149609375","0,6998672713623049"
"3270,75","265,183","294,025","46,1833","1,08549","0,196307","-0,8891830000000001","1,386636578199214","10,9545","11,4044","0,806303","0,815856","3270,75","2398,817",P01,P01_V + P01_B,"12,64588149609375","0,7646132713623048"
"3447,09","1901,36","294,389","46,1362","1,09283","0,171787","-0,921043","1,2435433245366707","9,87809","10,6354","0,942726","0,893967","3447,09","762,6400000000001",P01,P01_V + P01_B,"12,65322149609375","0,732753271362305"
"1618,75","1558,81","294,345","46,4251","1,10393","0,0710045","-1,0329255000000002","1,0259142264341905","11,8994","12,4262","0,958391","0,920172","1618,75","1105,19",P01,P01_V + P01_B,"12,66432149609375","0,6208707713623047"
"3047,82","1186,3","294,236","46,2071","1,10707","0,0682552","-1,0388148","1,3588230201169376","9,9531","10,4231","0,929714","0,923384","3047,82","1477,7",P01,P01_V + P01_B,"12,66746149609375","0,614981471362305"
"2292,36","1014,2","294,21","46,3268","1,1092","0,274876","-0,834324","1,131459234793741","10,8463","11,371","0,990625","0,979684","2292,36","1649,8",P01,P01_V + P01_B,"12,66959149609375","0,8194722713623049"
"3056,47","905,486","294,172","46,2091","1,10933","0,772977","-0,3363529999999999","1,2196950438533778","9,90997","10,0436","0,936382","0,944303","3056,47","1758,5140000000001",P01,P01_V + P01_B,"12,66972149609375","1,317443271362305"
"2098,27","2502,91","294,549","46,3387","1,11244","0,127148","-0,985292","0,9364827814753048","10,1093","10,5611","0,922523","0,934383","2098,27","161,09000000000015",P01,P01_V + P01_B,"12,67283149609375","0,668504271362305"
"1241,67","1789,09","294,404","46,4809","1,1206","0,215215","-0,905385","0,9219544457290916","11,419","11,9133","0,926674","0,90922","1241,67","874,9100000000001",P01,P01_V + P01_B,"12,68099149609375","0,7484112713623049"
"1782,87","39,5015","293,999","46,4176","1,12084","0,402754","-0,718086","1,2132287500715229","10,2538","10,9025","0,914884","0,880448","1782,87","2624,4985",P01,P01_V + P01_B,"12,68123149609375","0,9357102713623049"
"3516,78","1407,73","294,277","46,1314","1,13735","0,357967","-0,7793830000000002","1,3961733416732731","10,1925","10,5389","0,885794","0,87483","3516,78","1256,27",P01,P01_V + P01_B,"12,69774149609375","0,8744132713623047"
"841,695","1683,66","294,387","46,5445","1,15522","0,191821","-0,963399","0,9313372106815052","11,0872","11,2983","0,884194","0,935326","841,695","980,3399999999999",P01,P01_V + P01_B,"12,71561149609375","0,6903972713623049"
